Date,Close/Last,Volume,Open,High,Low
01/12/2026,$67.17,5277287,$69.78,$70.01,$66.97
01/09/2026,$70.61,5148145,$72.46,$73.415,$69.77
01/08/2026,$71.81,5573493,$68.08,$73.11,$68.03
01/07/2026,$68.83,4614038,$72.10,$72.83,$68.71
01/06/2026,$72.17,5434388,$69.16,$72.22,$68.50
01/05/2026,$70.05,4641710,$69.02,$70.94,$69.00
01/02/2026,$69.18,4167044,$67.42,$69.25,$66.66
12/31/2025,$66.93,2168511,$67.66,$67.67,$66.87
12/30/2025,$67.83,2918955,$67.55,$68.018,$67.29
12/29/2025,$67.84,5936426,$68.71,$68.90,$67.57
12/26/2025,$69.61,2735533,$69.37,$69.6999,$69.085
12/24/2025,$69.74,1870546,$69.75,$69.80,$68.92
12/23/2025,$69.58,4065216,$71.36,$71.45,$69.441
12/22/2025,$71.30,3964773,$72.00,$72.18,$70.62
12/19/2025,$71.83,7236531,$71.79,$72.18,$70.7347
12/18/2025,$71.76,4829971,$72.52,$73.89,$71.61
12/17/2025,$71.45,5296766,$71.87,$72.90,$71.24
12/16/2025,$72.62,7247862,$72.10,$73.28,$71.55
12/15/2025,$72.89,6194558,$74.00,$74.36,$72.73
12/12/2025,$73.46,3328620,$75.30,$76.02,$73.26
12/11/2025,$74.97,3877594,$74.15,$75.80,$73.825
12/10/2025,$74.12,5666382,$73.10,$74.33,$72.6201
12/09/2025,$73.17,4269135,$72.00,$74.705,$71.80
12/08/2025,$72.56,4759378,$74.06,$74.225,$72.54
12/05/2025,$74.17,3977721,$74.10,$74.58,$73.25
12/04/2025,$74.06,4592257,$74.51,$75.74,$73.991
12/03/2025,$74.38,3669841,$75.32,$75.92,$74.36
12/02/2025,$74.89,6596475,$77.81,$77.81,$74.235
12/01/2025,$77.24,6989530,$78.00,$78.77,$76.51
11/28/2025,$79.28,2491692,$80.68,$81.31,$79.03
11/26/2025,$80.98,5607862,$80.66,$83.67,$80.59
11/25/2025,$79.66,7625390,$76.64,$80.56,$75.00
11/24/2025,$75.62,7166147,$76.955,$77.4263,$75.20
11/21/2025,$76.45,4072702,$74.73,$78.49,$74.42
11/20/2025,$73.78,3017265,$75.32,$76.20,$73.515
11/19/2025,$74.38,3316499,$74.40,$76.18,$74.09
11/18/2025,$74.40,3248228,$73.93,$74.90,$73.01
11/17/2025,$74.65,3195148,$75.51,$75.97,$74.04
11/14/2025,$75.72,2601058,$77.16,$77.325,$75.61
11/13/2025,$76.18,3566029,$77.41,$78.05,$75.745
11/12/2025,$77.71,2232216,$77.72,$78.51,$77.13
11/11/2025,$77.68,2658020,$78.22,$78.56,$77.32
11/10/2025,$78.15,3036126,$79.16,$79.19,$76.67
11/07/2025,$79.03,3130859,$78.55,$79.365,$77.48
11/06/2025,$78.67,2330237,$80.88,$81.1073,$78.26
11/05/2025,$80.88,3327665,$79.46,$82.595,$79.05
11/04/2025,$79.37,4082827,$80.27,$81.16,$79.11
11/03/2025,$81.52,3287599,$81.82,$81.90,$79.78
10/31/2025,$82.14,3305692,$82.69,$83.72,$82.085
10/30/2025,$83.18,2490473,$83.49,$84.67,$82.7955
10/29/2025,$84.00,3640120,$83.50,$84.53,$83.07
10/28/2025,$83.86,4529359,$82.61,$84.50,$81.6025
10/27/2025,$82.88,5060899,$84.80,$84.99,$82.65
10/24/2025,$83.26,3804914,$83.00,$83.67,$82.95
10/23/2025,$82.43,2055376,$81.11,$82.59,$80.54
10/22/2025,$81.37,2896874,$82.39,$83.00,$81.3184
10/21/2025,$82.66,3971215,$80.80,$83.00,$80.37
10/20/2025,$81.01,4272929,$80.00,$81.17,$79.895
10/17/2025,$79.71,2332086,$78.52,$79.815,$78.16
10/16/2025,$78.54,3189188,$78.49,$78.94,$77.37
10/15/2025,$78.41,3292265,$77.60,$79.45,$77.38
10/14/2025,$77.21,4214578,$76.24,$78.455,$75.94
10/13/2025,$77.45,4981619,$72.745,$77.54,$72.12
10/10/2025,$70.43,4963257,$75.95,$75.95,$70.41
10/09/2025,$75.23,2337872,$76.49,$76.68,$74.6333
10/08/2025,$76.95,2555694,$76.63,$77.39,$75.75
10/07/2025,$75.23,2348713,$75.65,$76.055,$74.61
10/06/2025,$75.60,3043621,$76.97,$77.89,$75.40
10/03/2025,$76.86,2172647,$76.76,$78.23,$76.46
10/02/2025,$76.62,2533218,$77.20,$78.665,$76.52
10/01/2025,$77.35,3139722,$75.70,$77.43,$75.05
09/30/2025,$75.62,2265503,$75.35,$75.89,$74.3201
09/29/2025,$75.66,2683873,$76.67,$76.74,$74.865
09/26/2025,$76.15,3016274,$74.13,$76.195,$73.84
09/25/2025,$74.19,3022967,$73.50,$74.87,$73.47
09/24/2025,$74.17,3169627,$73.37,$74.19,$73.165
09/23/2025,$73.01,3342143,$72.44,$74.68,$72.39
09/22/2025,$72.33,3626658,$72.19,$73.06,$71.74
09/19/2025,$72.23,5600585,$73.76,$74.02,$71.86
09/18/2025,$73.73,4474502,$74.445,$74.93,$73.2095
09/17/2025,$74.52,4525611,$74.71,$76.93,$74.06
09/16/2025,$74.04,2708463,$74.56,$74.84,$73.44
09/15/2025,$74.55,2713670,$75.95,$76.01,$73.84
09/12/2025,$75.87,2140315,$78.00,$78.00,$75.83
09/11/2025,$78.46,2720782,$76.82,$78.77,$76.82
09/10/2025,$76.61,2858486,$76.10,$76.895,$75.58
09/09/2025,$77.02,2842242,$77.33,$77.445,$76.47
09/08/2025,$77.59,3770910,$76.78,$77.95,$75.54
09/05/2025,$76.17,2870902,$76.96,$78.185,$76.10
09/04/2025,$77.05,4477624,$75.00,$77.08,$74.95
09/03/2025,$74.89,3391157,$74.02,$75.40,$73.66
09/02/2025,$74.46,4838981,$73.03,$74.50,$71.75
08/29/2025,$73.64,4436377,$72.81,$74.68,$72.145
08/28/2025,$72.66,9369590,$77.645,$78.54,$70.45
