Date,Close/Last,Volume,Open,High,Low
01/06/2026,$89.46,11351100,$86.56,$90.64,$86.36
01/05/2026,$86.56,9894301,$83.50,$87.25,$83.40
01/02/2026,$83.97,11334890,$84.22,$84.96,$83.02
12/31/2025,$84.21,5293385,$85.11,$85.18,$84.12
12/30/2025,$85.25,4540473,$85.24,$85.75,$85.05
12/29/2025,$85.57,5352446,$85.12,$86.7895,$84.98
12/26/2025,$85.08,5046220,$84.58,$85.155,$84.42
12/24/2025,$84.57,3462748,$83.84,$84.615,$83.47
12/23/2025,$83.86,9511322,$86.02,$86.14,$83.38
12/22/2025,$86.17,7161621,$88.16,$88.62,$86.04
12/19/2025,$88.33,16986660,$89.215,$89.26,$88.25
12/18/2025,$89.42,16466100,$87.689,$90.575,$87.30
12/17/2025,$85.21,7947026,$84.57,$85.829,$84.50
12/16/2025,$85.08,7481392,$85.64,$86.54,$84.72
12/15/2025,$85.40,11718590,$86.00,$87.56,$84.66
12/12/2025,$85.35,9071499,$85.11,$85.925,$84.86
12/11/2025,$84.74,6893969,$84.22,$85.00,$83.735
12/10/2025,$83.85,10539600,$82.21,$84.00,$81.97
12/09/2025,$82.28,10322880,$83.32,$83.33,$82.02
12/08/2025,$83.41,10277590,$85.13,$85.50,$83.14
12/05/2025,$85.12,9402927,$84.91,$86.51,$84.8039
12/04/2025,$85.00,10555100,$87.30,$87.87,$84.745
12/03/2025,$87.11,9303938,$85.03,$87.495,$84.97
12/02/2025,$85.20,9001910,$85.03,$86.00,$84.22
12/01/2025,$84.91,8752137,$86.21,$86.5044,$84.77
11/28/2025,$87.11,3677642,$87.03,$87.28,$86.40
11/26/2025,$86.70,7602581,$85.50,$87.29,$85.50
11/25/2025,$85.91,9265302,$82.83,$86.02,$82.82
11/24/2025,$83.34,10805830,$85.26,$85.59,$82.83
11/21/2025,$85.35,10227670,$82.52,$86.58,$82.52
11/20/2025,$82.62,8966338,$84.025,$85.23,$82.54
11/19/2025,$83.68,6195147,$83.26,$84.39,$83.03
11/18/2025,$83.33,7189392,$83.61,$83.84,$82.34
11/17/2025,$83.69,8547244,$85.19,$86.85,$83.45
11/14/2025,$84.78,13434610,$85.61,$86.50,$84.00
11/13/2025,$86.44,10507680,$86.76,$87.29,$86.185
11/12/2025,$87.26,11975820,$87.63,$89.055,$87.13
11/11/2025,$86.42,9575823,$84.98,$87.04,$84.90
11/10/2025,$84.60,10507560,$86.06,$86.15,$84.03
11/07/2025,$85.57,15009920,$82.34,$85.945,$81.76
11/06/2025,$82.22,10382800,$82.565,$83.85,$81.86
11/05/2025,$82.88,17996240,$79.60,$83.11,$79.04
11/04/2025,$79.60,17774640,$81.175,$81.1999,$77.99
11/03/2025,$80.96,9525082,$80.925,$81.92,$80.60
10/31/2025,$80.87,13598050,$82.765,$82.7848,$80.2209
10/30/2025,$83.15,18337520,$82.225,$86.05,$81.25
10/29/2025,$84.17,13881660,$84.14,$84.89,$83.2841
10/28/2025,$85.43,11545600,$86.90,$87.54,$85.31
10/27/2025,$87.22,7164584,$86.28,$87.4399,$86.11
10/24/2025,$86.09,5844597,$86.095,$86.84,$85.86
10/23/2025,$85.44,4565508,$85.48,$85.90,$84.98
10/22/2025,$85.50,5286258,$85.76,$86.00,$84.90
10/21/2025,$85.90,8262493,$84.14,$86.51,$83.65
10/20/2025,$84.53,7679667,$85.685,$86.34,$84.43
10/17/2025,$85.36,8527648,$84.25,$85.94,$84.02
10/16/2025,$84.34,11552090,$83.20,$84.89,$83.04
10/15/2025,$82.86,11094290,$81.70,$83.32,$81.57
10/14/2025,$81.15,7510256,$79.25,$81.48,$79.03
