Date,Close/Last,Volume,Open,High,Low
01/07/2026,$67.46,2705845,$68.18,$68.3944,$67.295
01/06/2026,$67.68,2939785,$66.88,$67.91,$66.79
01/05/2026,$66.74,4373596,$67.36,$67.95,$66.55
01/02/2026,$67.81,4258086,$68.02,$68.27,$66.90
12/31/2025,$68.23,1610916,$68.49,$68.755,$67.945
12/30/2025,$68.75,2042374,$68.87,$69.45,$68.57
12/29/2025,$68.97,1960989,$69.76,$70.05,$68.81
12/26/2025,$69.88,1740435,$69.56,$69.98,$69.49
12/24/2025,$69.57,875316,$68.86,$69.80,$68.86
12/23/2025,$68.86,3799753,$69.69,$69.999,$68.802
12/22/2025,$70.33,8665813,$69.75,$70.39,$69.74
12/19/2025,$70.05,2990988,$70.00,$70.25,$69.76
12/18/2025,$69.91,3147338,$70.23,$70.865,$69.75
12/17/2025,$70.20,2734082,$70.48,$71.00,$70.06
12/16/2025,$70.47,2277195,$71.00,$71.37,$70.33
12/15/2025,$70.99,2835105,$70.84,$71.34,$70.46
12/12/2025,$70.87,4384195,$70.66,$71.12,$70.47
12/11/2025,$70.45,3211112,$70.67,$71.41,$69.96
12/10/2025,$70.76,3459389,$70.93,$71.31,$70.45
12/09/2025,$70.94,1723307,$71.76,$72.62,$70.60
12/08/2025,$71.69,3167377,$73.66,$73.695,$71.4794
12/05/2025,$73.54,3434849,$72.12,$73.70,$71.95
12/04/2025,$71.93,2377401,$72.12,$72.60,$71.865
12/03/2025,$71.95,2361039,$71.50,$72.10,$71.38
12/02/2025,$71.27,1322526,$72.00,$72.25,$71.01
12/01/2025,$71.61,1450025,$72.30,$72.36,$71.52
11/28/2025,$72.39,950660,$72.28,$73.13,$71.964
11/26/2025,$72.22,2941756,$72.08,$72.98,$72.01
11/25/2025,$72.03,3073873,$70.13,$72.36,$70.13
11/24/2025,$69.94,2929215,$70.55,$70.74,$69.82
11/21/2025,$70.51,4240372,$68.45,$70.98,$68.09
11/20/2025,$67.99,1842550,$67.89,$68.85,$67.84
11/19/2025,$67.83,1838058,$67.55,$68.16,$67.08
11/18/2025,$67.39,2859364,$68.00,$68.00,$67.245
11/17/2025,$68.06,3271100,$68.43,$68.93,$67.53
11/14/2025,$68.68,5590258,$68.45,$69.01,$67.425
11/13/2025,$70.41,2307937,$69.21,$70.46,$69.17
11/12/2025,$69.14,2256585,$68.85,$69.5395,$68.35
11/11/2025,$68.89,2195569,$69.30,$69.36,$68.55
